trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1.0	23	4.62	5.109999999999999	1.47	4.62	0.0	0.0	5.25	4.62	3.99	5.390000000000001
2.0	23	5.53	4.48	5.46	4.899999999999999	0.0	0.0	5.600000000000001	5.390000000000001	6.3	6.02
3.0	23	5.32	7.0	5.600000000000001	0.0	0.0	0.0	5.32	7.0	7.0	7.0
4.0	23	4.48	5.04	4.55	0.0	0.0	0.0	3.01	4.899999999999999	4.34	4.760000000000001
5.0	23	4.2	4.62	5.32	0.0	0.0	0.0	4.13	5.32	7.0	7.0
6.0	23	3.850000000000001	4.27	3.57	0.0	0.0	0.0	2.87	4.41	2.38	4.62
7.0	23	2.24	4.760000000000001	0.0	0.0	0.0	0.0	4.34	4.13	5.109999999999999	4.06
8.0	23	3.5	3.5	3.5	3.5	3.5	3.5	3.15	2.66	3.92	3.5
9.0	23	0.0	0.0	0.0	0.0	0.0	5.25	5.18	0.0	5.739999999999999	0.0
10.0	23	5.109999999999999	1.68	0.84	0.0	0.49	0.0	4.899999999999999	3.57	6.02	5.32
11.0	23	0.0	0.0	0.42	5.81	0.0	1.33	3.22	2.52	0.0	2.8
12.0	23	0.0	0.0	0.0	0.0	0.84	4.83	4.69	2.73	0.0	0.77
13.0	23	2.31	4.13	1.54	0.0	0.0	0.0	3.64	4.55	5.32	5.32
14.0	23	4.13	3.78	4.2	1.75	0.0	0.0	2.31	4.48	4.34	5.18
15.0	23	4.62	3.850000000000001	1.33	0.0	0.0	0.0	3.22	4.899999999999999	4.06	3.5
16.0	23	2.45	3.64	0.0	0.0	0.0	0.0	0.98	4.48	0.63	3.78
17.0	23	0.0	0.0	0.0	0.0	0.0	0.0	1.12	2.45	0.0	2.17
18.0	23	0.49	0.63	0.0	0.0	0.0	0.0	0.56	3.99	4.899999999999999	4.2
19.0	23	4.41	4.760000000000001	0.63	0.0	1.68	0.0	4.899999999999999	5.390000000000001	5.88	5.32
20.0	23	4.62	4.2	5.67	0.0	0.0	0.0	4.27	5.390000000000001	4.06	5.88
21.0	23	0.56	0.63	0.7000000000000001	0.0	0.0	0.0	0.63	5.04	0.77	4.48
22.0	23	4.48	2.87	0.0	3.71	0.0	0.0	4.34	3.92	0.0	4.62
23.0	23	3.99	3.5	5.109999999999999	0.91	0.0	0.0	4.34	4.83	0.0	4.48
24.0	23	5.32	0.0	0.0	4.41	0.0	0.0	2.66	3.57	0.0	3.57
25.0	23	4.899999999999999	0.0	0.0	0.91	0.0	0.0	4.69	3.5	7.0	3.5
26.0	23	1.4	4.48	0.0	1.4	0.0	1.4	2.8	4.48	0.0	2.52
27.0	23	0.0	0.0	1.05	0.0	0.28	0.0	0.84	3.5	6.23	2.59
28.0	23	0.49	2.17	0.91	0.42	0.0	0.0	2.59	3.99	3.5	3.5
29.0	23	0.0	0.0	0.0	0.0	0.0	5.04	4.760000000000001	1.33	1.75	0.0
30.0	23	0.0	0.0	0.0	0.0	0.63	0.0	0.7000000000000001	0.98	3.36	1.54
31.0	23	2.45	5.04	1.47	0.0	0.0	0.0	2.94	4.97	4.13	5.46
32.0	23	0.98	1.54	3.71	5.04	0.63	0.0	3.15	3.99	3.22	5.390000000000001
33.0	23	0.56	1.96	0.0	0.0	0.0	0.0	0.84	5.739999999999999	4.41	4.97
34.0	23	0.0	2.38	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
35.0	23	0.0	0.0	0.63	0.0	0.0	0.0	0.63	5.04	0.0	3.5
36.0	23	2.03	4.83	1.12	0.0	0.0	0.0	3.08	7.0	4.55	5.53
37.0	23	0.0	0.0	1.75	5.04	0.0	0.0	4.41	3.36	0.0	3.5
38.0	23	0.0	0.0	1.96	0.0	0.0	1.26	2.17	4.69	0.0	3.5
39.0	23	0.0	0.0	0.0	1.89	2.66	0.0	4.48	1.4	5.95	4.34
40.0	23	0.0	0.0	0.0	1.19	1.19	0.0	1.05	1.4	0.0	2.24
41.0	23	0.0	0.0	0.0	0.0	1.12	5.46	4.13	0.84	1.75	0.0
42.0	23	0.0	0.0	0.0	0.0	0.84	0.0	0.35	2.66	1.12	4.62
