trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	28	4.55	4.62	5.81	3.5	0.0	0.0	3.5	4.62	7.0	5.109999999999999
2	27	1.75	5.18	0.0	3.57	0.77	0.0	3.43	3.43	0.0	3.5
3	22	3.5	0.0	1.96	0.0	0.0	0.0	2.1	3.850000000000001	0.0	3.5
4	7	3.99	3.08	5.32	0.0	0.0	0.0	3.5	5.25	7.0	6.02
5	6	0.0	3.5	0.0	3.5	0.0	0.0	1.33	3.5	1.33	3.5
6	1	2.87	2.03	2.45	0.0	0.0	0.0	0.49	3.5	0.14	3.5
7	39	0.0	0.0	0.0	0.0	0.0	4.899999999999999	0.77	2.24	0.7000000000000001	1.54
8	33	0.0	0.0	0.0	0.28	0.0	0.0	0.42	3.08	0.0	3.5
9	34	0.0	0.0	0.0	3.5	5.109999999999999	1.4	5.18	1.54	0.35	3.29
10	18	3.5	2.45	3.5	1.33	0.0	0.0	0.56	3.5	0.84	3.5
11	12	3.5	1.68	2.52	0.0	0.0	0.0	0.56	3.57	0.35	4.62
12	13	3.5	2.45	2.1	0.42	0.21	0.14	0.98	3.5	0.0	3.71
13	5	3.5	1.96	1.54	0.84	0.0	0.0	0.56	3.5	0.49	3.5
14	2	3.5	2.1	3.29	0.42	0.0	0.0	1.68	3.5	0.77	3.5
15	4	2.24	2.45	3.5	1.54	0.0	0.0	0.84	3.5	0.14	3.5
16	26	2.24	5.390000000000001	0.42	0.91	0.0	0.0	3.29	4.2	3.36	4.06
17	23	5.95	4.760000000000001	4.899999999999999	0.0	0.0	0.0	3.36	5.53	7.0	5.739999999999999
18	25	5.109999999999999	3.5	2.52	0.0	0.0	0.0	3.36	4.899999999999999	0.7000000000000001	3.850000000000001
19	15	2.24	1.61	0.91	3.5	1.33	0.0	1.82	2.66	0.91	3.5
20	14	0.0	0.0	0.0	4.27	5.18	5.390000000000001	3.5	1.47	0.98	1.54
21	17	0.0	0.0	0.0	1.75	2.03	5.739999999999999	1.05	2.31	0.0	1.96
22	36	0.0	0.0	0.0	3.5	5.600000000000001	2.1	3.57	2.45	0.42	2.1
23	35	0.0	0.0	0.0	0.84	7.0	0.7000000000000001	5.25	1.54	0.91	2.52
24	38	0.0	0.0	0.0	0.0	5.25	7.0	7.0	0.0	2.31	0.0
25	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
26	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	7.0	3.5
27	19	0.0	0.0	0.0	0.0	0.0	0.07	0.0	3.5	0.0	3.5
28	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
29	41	0.0	0.0	0.77	0.0	0.0	0.0	0.0	3.5	0.0	3.5
30	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
31	29	4.760000000000001	3.5	7.0	7.0	0.0	0.0	7.0	6.79	3.36	7.0
32	24	3.5	0.0	0.0	1.68	0.0	0.0	3.5	3.5	1.89	3.5
33	30	3.78	1.89	5.67	4.55	0.0	0.0	4.48	4.06	2.17	4.55
34	8	4.899999999999999	3.5	7.0	4.06	0.0	0.0	4.899999999999999	7.0	3.36	5.67
35	3	5.46	3.5	5.25	0.0	0.0	0.0	4.13	5.04	4.48	4.55
36	9	4.06	3.5	5.32	5.04	0.0	0.0	3.43	4.2	1.12	3.5
37	10	0.0	0.0	0.14	3.5	0.0	0.0	1.4	3.5	0.91	3.5
38	16	0.0	0.0	0.0	3.5	4.34	6.58	5.25	0.91	2.31	0.84
39	11	0.0	0.0	3.5	6.37	5.67	0.0	3.78	3.57	2.45	3.22
40	31	3.5	0.0	0.0	3.5	0.0	0.0	3.71	2.66	5.53	3.5
41	37	0.0	0.0	0.0	0.0	0.0	0.28	1.96	2.73	0.77	2.73
42	32	0.0	0.0	0.0	1.68	0.0	0.0	0.56	2.59	0.49	3.5
