trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	37	1.82	4.13	0.35	0.28	4.41	5.600000000000001	4.06	3.5	3.43	2.24
2	33	0.0	0.84	0.0	5.600000000000001	6.09	4.62	5.95	1.19	0.98	2.45
3	31	0.14	1.75	0.56	6.649999999999999	0.56	3.08	3.36	3.5	7.0	3.5
4	16	0.35	1.12	0.0	0.0	5.390000000000001	7.0	5.53	2.03	3.71	0.0
5	12	1.96	2.03	4.899999999999999	4.27	0.0	0.0	4.34	1.61	4.34	2.03
6	10	1.05	1.4	1.19	5.18	0.0	0.0	2.17	3.5	4.34	2.38
7	19	3.5	4.899999999999999	1.26	0.0	0.0	0.0	2.31	4.899999999999999	5.18	5.46
8	20	4.97	4.62	5.18	0.0	0.0	0.0	5.46	4.899999999999999	6.16	5.109999999999999
9	21	2.31	1.75	2.1	0.0	0.0	0.0	2.24	3.5	3.92	3.5
10	40	2.66	2.52	0.91	0.0	0.0	0.0	1.61	3.5	5.46	4.34
11	41	1.89	1.68	1.33	0.0	0.0	0.0	0.63	3.5	0.7000000000000001	3.57
12	42	0.84	0.77	0.21	0.0	0.0	0.0	2.31	3.5	6.79	3.5
13	1	0.77	1.26	3.01	0.0	0.0	0.0	0.49	3.5	0.84	1.4
14	9	3.5	2.45	4.41	0.0	0.0	0.0	4.41	5.04	4.760000000000001	4.2
15	8	4.27	4.97	5.600000000000001	0.0	0.0	0.0	2.8	4.83	3.57	4.2
16	22	5.53	3.78	2.03	0.0	0.0	0.0	4.48	3.99	5.600000000000001	3.01
17	30	5.32	4.97	5.18	0.0	0.0	0.0	5.32	5.600000000000001	7.0	6.37
18	29	5.32	4.69	5.6	0.0	0.0	0.0	4.41	5.04	0.49	4.48
19	17	0.35	0.28	0.14	2.94	0.91	5.95	3.64	1.82	4.06	1.19
20	14	0.84	0.42	0.0	0.63	5.04	4.55	5.600000000000001	1.47	6.58	0.35
21	18	0.49	0.0	0.0	0.35	0.0	6.44	6.23	1.33	7.0	0.91
22	38	0.0	0.0	0.0	0.0	1.89	7.0	5.46	0.56	3.29	0.42
23	35	0.21	0.0	0.42	1.05	5.32	6.02	5.109999999999999	1.33	3.5	0.98
24	39	0.35	0.0	0.0	0.0	4.55	6.37	4.69	1.82	0.84	0.98
25	25	1.82	5.67	0.98	5.67	2.87	0.35	2.8	3.5	3.5	4.899999999999999
26	23	5.32	4.48	4.97	0.0	0.0	0.0	3.99	4.83	5.739999999999999	6.3
27	28	4.13	3.78	4.899999999999999	0.0	0.0	0.0	2.31	3.5	4.97	4.69
28	4	0.84	3.78	0.28	0.0	0.0	0.0	2.17	3.5	3.92	3.57
29	2	4.55	4.899999999999999	3.99	0.0	0.0	0.0	3.57	5.109999999999999	2.1	3.850000000000001
30	7	4.48	4.34	4.69	0.0	0.0	0.0	3.78	4.34	5.46	4.69
31	13	0.56	0.77	0.0	4.48	5.600000000000001	4.06	2.66	1.89	1.26	2.73
32	11	0.35	0.98	4.62	5.95	4.27	0.21	3.92	2.1	0.28	1.82
33	15	0.98	0.49	0.56	4.55	0.49	0.0	3.5	3.5	4.62	3.5
34	34	0.0	0.0	0.0	2.59	5.32	6.23	5.600000000000001	1.61	2.24	1.82
35	32	0.0	0.49	0.0	6.16	1.12	0.0	3.64	3.5	0.28	2.45
36	36	0.0	0.0	0.0	0.0	6.37	6.16	6.3	1.61	2.38	2.24
37	26	3.5	5.739999999999999	1.19	0.0	0.0	0.0	3.29	3.5	1.89	3.5
38	27	3.5	5.739999999999999	4.2	0.0	0.0	0.0	4.760000000000001	3.5	5.81	5.25
39	24	1.05	1.4	1.12	5.390000000000001	0.0	0.42	2.94	1.96	0.56	2.24
40	5	4.899999999999999	4.69	3.850000000000001	0.0	0.0	0.0	0.0	3.5	0.0	3.5
41	6	4.55	5.109999999999999	2.52	0.0	0.0	0.0	2.8	5.25	3.57	4.27
42	3	5.04	5.25	5.109999999999999	0.0	0.0	0.0	3.78	5.18	3.5	4.760000000000001
