session	channel	trial
ima	1	1
ima	2	1
ima	3	1
ima	4	1
ima	7	1
ima	8	1
ima	61	1
ima	1	3
ima	2	3
ima	3	3
ima	4	3
ima	8	3
ima	61	3
ima	1	5
ima	2	5
ima	3	5
ima	4	5
ima	7	5
ima	8	5
ima	61	5
ima	1	12
ima	4	12
ima	61	12
ima	1	14
ima	2	14
ima	3	14
ima	4	14
ima	7	14
ima	8	14
ima	61	14
ima	1	16
ima	4	16
ima	1	18
ima	4	18
vid	1	6
vid	2	6
vid	4	6
vid	8	6
vid	1	13
vid	1	14
vid	2	13
vid	2	14
vid	3	13
vid	3	14
vid	4	13
vid	4	14
vid	7	13
vid	7	14
vid	8	13
vid	8	14
vid	61	13
vid	61	14
vid	1	17
vid	2	17
vid	3	17
vid	4	17
vid	61	17
vid	1	18
vid	4	18
