trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	35	2.38	0.28	0.0	4.899999999999999	6.58	4.55	6.5	1.0	0.0	0.0
2	35	0.0	0.0	0.0	3.22	7.0	6.09	7.0	0.91	0.0	0.0
3	35	0.0	0.0	0.0	1.26	4.48	5.32	4.55	1.54	0.0	0.56
4	35	1.54	1.4	1.4	2.73	4.62	4.97	4.48	1.33	0.0	1.61
5	35	0.0	1.68	1.19	4.41	5.739999999999999	1.96	6.16	1.89	3.5	2.1
6	35	5.32	0.0	0.0	1.4	5.600000000000001	6.37	5.88	0.0	0.0	0.0
7	35	4.760000000000001	5.46	4.2	0.0	0.0	0.0	5.739999999999999	6.93	6.3	5.32
8	35	6.44	3.99	4.760000000000001	1.12	0.07	0.0	4.97	4.27	4.899999999999999	5.88
9	35	4.69	6.09	1.75	0.0	0.0	0.0	5.53	7.0	0.0	4.97
10	35	5.04	6.44	4.83	4.62	0.0	0.0	4.55	6.23	0.0	4.55
11	35	7.0	7.0	5.18	0.0	0.0	0.0	6.09	7.0	4.55	7.0
12	35	2.59	5.67	4.97	0.0	0.0	0.0	4.69	7.0	3.5	4.55
13	35	2.45	4.55	0.7000000000000001	0.77	0.0	0.0	2.94	3.5	2.24	2.17
14	35	5.32	4.48	1.47	0.0	2.59	0.0	5.81	4.899999999999999	5.739999999999999	5.04
15	35	2.52	2.31	4.13	0.07	0.0	0.0	4.62	3.5	5.390000000000001	3.5
16	35	1.54	1.54	0.0	0.0	0.0	0.0	1.61	2.1	4.48	4.41
17	35	0.0	1.82	0.0	0.0	0.0	0.0	1.75	3.99	2.59	1.61
18	35	0.0	4.55	0.0	0.0	0.0	0.0	1.96	4.2	2.24	3.5
19	35	6.58	1.61	4.41	2.03	0.0	0.0	7.0	5.46	7.0	6.510000000000001
20	35	0.0	0.0	0.0	0.0	7.0	7.0	7.0	0.0	0.0	0.0
21	35	0.0	0.0	0.0	5.95	7.0	7.0	7.0	0.0	0.0	0.0
22	35	0.0	0.35	1.12	6.02	1.96	0.77	4.83	1.47	0.0	0.7000000000000001
23	35	0.0	0.0	0.0	4.27	7.0	7.0	5.88	0.0	0.0	0.0
24	35	0.0	0.0	0.0	6.23	7.0	5.109999999999999	7.0	0.0	1.26	0.84
25	35	5.18	5.95	6.72	0.0	0.0	0.0	5.46	6.510000000000001	3.71	5.18
26	35	4.2	3.57	5.46	0.0	0.0	0.0	4.760000000000001	5.739999999999999	0.0	4.97
27	35	5.25	4.62	3.99	0.0	0.0	0.0	3.29	4.48	1.61	4.48
28	35	5.25	5.88	6.510000000000001	2.24	0.0	0.0	5.95	7.0	5.88	7.0
29	35	5.81	5.95	7.0	2.17	0.0	0.0	5.67	7.0	3.5	5.739999999999999
30	35	5.53	2.1	1.33	0.0	0.0	0.07	4.55	5.32	0.0	4.69
31	35	0.0	0.0	0.0	6.09	4.760000000000001	7.0	5.88	0.0	1.26	0.0
32	35	0.0	0.0	1.89	7.0	7.0	0.0	4.760000000000001	0.0	0.0	0.0
33	35	0.98	1.05	0.0	5.88	1.33	0.0	4.83	0.84	1.47	1.12
34	35	0.0	0.0	0.07	0.0	5.67	6.02	5.18	0.42	1.89	0.56
35	35	0.0	0.0	0.0	7.0	1.4	1.47	3.5	0.0	0.98	0.0
36	35	0.0	0.0	0.0	6.72	5.18	6.09	5.32	0.77	0.0	0.77
37	35	6.02	4.899999999999999	5.88	0.0	0.07	0.0	5.390000000000001	6.23	2.45	5.53
38	35	5.53	5.46	5.739999999999999	0.0	0.0	0.0	4.62	5.18	3.08	5.109999999999999
39	35	3.99	5.67	5.739999999999999	1.68	2.59	0.0	2.87	6.09	0.0	2.52
40	35	3.5	1.75	0.7000000000000001	2.17	0.0	0.0	4.62	2.03	1.33	1.68
41	35	5.53	5.18	6.44	0.0	2.1	0.0	5.18	5.88	4.2	5.739999999999999
42	35	3.5	5.32	1.33	0.07	0.77	0.84	4.83	6.37	3.64	5.04
