onset	duration	stim_type	trial_type
369.2116666666666	0.0	28	n/a
551.4266666666666	0.0	30	fade
555.165	0.0	31	rating
715.0316666666666	0.0	31	rating
755.26	0.0	29	n/a
862.835	0.0	32	ima
938.7083333333334	0.0	30	fade
948.3666666666668	0.0	31	rating
1035.426666666667	0.0	32	ima
1112.14	0.0	31	rating
1229.983333333333	0.0	32	ima
1283.735	0.0	30	fade
1290.72	0.0	31	rating
1512.253333333333	0.0	33	vid
1584.966666666667	0.0	31	rating
1669.063333333333	0.0	33	vid
1760.436666666667	0.0	31	rating
1835.806666666667	0.0	33	vid
1934.13	0.0	31	rating
2117.311666666666	0.0	33	vid
2228.763333333333	0.0	31	rating
2298.558333333333	0.0	33	vid
2364.398333333334	0.0	31	rating
2452.565	0.0	33	vid
2553.163333333333	0.0	31	rating
2807.303333333333	0.0	32	ima
2914.348333333333	0.0	31	rating
3000.256666666667	0.0	32	ima
3061.083333333333	0.0	30	fade
3076.376666666667	0.0	31	rating
3166.526666666667	0.0	32	ima
3236.056666666667	0.0	30	fade
3249.44	0.0	31	rating
3425.486666666667	0.0	33	vid
3509.28	0.0	31	rating
3582.598333333333	0.0	33	vid
3656.641666666667	0.0	31	rating
3730.895	0.0	33	vid
3840.39	0.0	31	rating
4105.33	0.0	32	ima
4189.763333333333	0.0	30	fade
4197.673333333333	0.0	31	rating
4276.883333333333	0.0	32	ima
4351.908333333334	0.0	30	fade
4354.281666666667	0.0	31	rating
4440.126666666667	0.0	32	ima
4540.61	0.0	30	fade
4550.041666666667	0.0	31	rating
4810.961666666667	0.0	32	ima
4857.203333333333	0.0	31	rating
4889.503333333333	0.0	32	ima
4926.278333333334	0.0	30	fade
4939.718333333333	0.0	31	rating
222.1033333333333	0.0	32	ima
252.1316666666667	0.0	30	fade
267.29	0.0	31	rating
453.15	0.0	33	vid
559.5166666666667	0.0	31	rating
607.15	0.0	33	vid
719.0633333333334	0.0	31	rating
760.1116666666667	0.0	33	vid
864.705	0.0	31	rating
909.7966666666666	0.0	33	vid
976.9116666666666	0.0	31	rating
1011.975	0.0	33	vid
1128.561666666667	0.0	31	rating
1166.888333333333	0.0	33	vid
1282.715	0.0	31	rating
1447.043333333333	0.0	32	ima
1508.816666666667	0.0	30	fade
1523.996666666667	0.0	31	rating
1566.593333333333	0.0	32	ima
1635.281666666667	0.0	30	fade
1656.373333333333	0.0	31	rating
1687.338333333333	0.0	32	ima
1753.716666666667	0.0	30	fade
1776.146666666667	0.0	31	rating
1917.175	0.0	32	ima
1957.07	0.0	30	fade
1979.64	0.0	31	rating
2010.273333333333	0.0	32	ima
2086.535	0.0	31	rating
2124.075	0.0	32	ima
2176.148333333334	0.0	30	fade
2195.2	0.0	31	rating
2328.415	0.0	33	vid
2409.993333333333	0.0	31	rating
2442.216666666667	0.0	33	vid
2704.556666666667	0.0	31	rating
2738.14	0.0	33	vid
2811.04	0.0	31	rating
2955.91	0.0	32	ima
3008.35	0.0	30	fade
3029.15	0.0	31	rating
3073.038333333333	0.0	32	ima
3121.816666666667	0.0	30	fade
3142.911666666667	0.0	31	rating
3173.165	0.0	32	ima
3245.426666666667	0.0	30	fade
3269.531666666667	0.0	31	rating
3392.43	0.0	33	vid
3514.318333333333	0.0	31	rating
3545.208333333333	0.0	33	vid
3603.223333333333	0.0	31	rating
3639.593333333333	0.0	33	vid
3747.61	0.0	31	rating
